dim,spec,hc,sdp,noniter,noniter_spec,noniter_hc,bandit_perm,bandit_norm
50,0.973192204,0.970786517,0.973764706,0.973441176,0.972419355,0.906235955,0.976080402,0
500,0.970307263,0.958547297,0.971243243,0.930675676,0.924413408,0.715472973,0.973467337,0
1000,0.970590278,0.847655367,0.970078534,0.873324607,0.861215278,0.625338983,0.97138191,0.97625
1500,0.967950311,0.764368132,0.962919075,0.805867052,0.790900621,0.581510989,0.969497487,0
2000,0.929911765,0.679583333,0.944739884,0.736647399,0.727823529,0.565,0.968844221,0.9763
2500,0.895,0.629005682,0.905756757,0.689162162,0.682688172,0.557471591,0.966919192,0
3000,0.861988636,0.615767196,0.844664948,0.65056701,0.649886364,0.554391534,0.961414141,0.97605
3500,0.799088398,0.596346154,0.79130102,0.619821429,0.622237569,0.55293956,0.9452,0
4000,0.744473684,0.577676768,0.757403846,0.60375,0.601289474,0.547878788,0.93405,0.9755
4500,0.717868421,0.570839161,0.719143836,0.597226027,0.589868421,0.541258741,0.9035,0
5000,0.678795812,0.567010309,0.682487179,0.584025641,0.582486911,0.540927835,0.8758,0.9696
6000,0,0,0,0,0,0,0,0.97045
7000,0,0,0,0,0,0,0,0.95755
8000,0,0,0,0,0,0,0,0.96325
9000,0,0,0,0,0,0,0,0.9519
1000,0,0,0,0,0,0,0,0.9395
