dim,spec,hc,sdp,noniter,noniter_spec,noniter_hc,bandit_perm,bandit_norm
1000,0.970590278,0.847655367,0.970078534,0.873324607,0.861215278,0.625338983,0.97138191,0.97625
2000,0.929911765,0.679583333,0.944739884,0.736647399,0.727823529,0.565,0.968844221,0.9763
3000,0.861988636,0.615767196,0.844664948,0.65056701,0.649886364,0.554391534,0.961414141,0.97605
4000,0.744473684,0.577676768,0.757403846,0.60375,0.601289474,0.547878788,0.93405,0.9755
5000,0.678795812,0.567010309,0.682487179,0.584025641,0.582486911,0.540927835,0.8758,0.9696
6000,0,0,0,0,0,0,0,0.97045
7000,0,0,0,0,0,0,0,0.95755
8000,0,0,0,0,0,0,0,0.96325
9000,0,0,0,0,0,0,0,0.9519
1000,0,0,0,0,0,0,0,0.9395
