dim,spec,hc,sdp,noniter,noniter_spec,noniter_hc,bandit_perm
50,0.99184466,0.991658163,0.992083333,0.991875,0.991893204,0.962576531,0.9931
500,0.991627907,0.990963542,0.99142132,0.981192893,0.977848837,0.829947917,0.992211055
1000,0.991398964,0.988647959,0.991078947,0.963736842,0.957512953,0.751020408,0.991859296
1500,0.991192893,0.962720207,0.990984456,0.941994819,0.932944162,0.685932642,0.991475
2000,0.990775401,0.918722826,0.990887097,0.916854839,0.906149733,0.651766304,0.991275
2500,0.991010363,0.860180412,0.991045918,0.890382653,0.875803109,0.615463918,0.991136364
3000,0.990935829,0.793333333,0.990994898,0.862806122,0.849010695,0.595461538,0.990778894
3500,0.988691099,0.767933673,0.988743455,0.831256545,0.81513089,0.591173469,0.990904523
4000,0.984240838,0.725025773,0.988840206,0.800902062,0.785863874,0.580309278,0.990025253
4500,0.967789474,0.701020942,0.984419192,0.770050505,0.755763158,0.579790576,0.989725
5000,0.947984694,0.681848958,0.957052632,0.733526316,0.72505102,0.5646875,0.990150754
