dim,spec,scvx,ifpca,witten,chime,tvs,arias
1000,0.970590278,0.8588667,0.578,0.873395,0.55,0.9773,0.9386025
3000,0.861988636,0.6812,0.5370927,0.5722025,0.542,0.97605,0.67556
6000,0.608,0.566,0.5336,0.5366,0.521,0.971,0.5849875
9000,0.562,0.5539,0.529,0.5251,0.512,0.967,0.5632
12000,0.521,0.5368,0.5192,0.5165,0.505,0.963,0.5438
15000,0.515,0.5298,0.5122,0.5112,0.5,0.961,0.5318
18000,0.5,0.5,0.5,0.504,0.5,0.958,0.513
21000,0.5,0.5,0.5,0.503,0.5,0.957,0.508
24000,0.5,0.5,0.5,0.503,0.5,0.959,0.503
27000,0.5,0.5,0.5,0.5,0.5,0.956,0.5
30000,0.5,0.5,0.5,0.5,0.5,0.951,0.5
