dim,spec,scvx,ifpca,witten,chime,tvs,arias
1000,0.968,0.867,0.523,0.9715,0.534,0.971,0.965
3000,0.779,0.643,0.528,0.599,0.523,0.975,0.967
6000,0.637,0.582,0.524,0.564,0.511,0.972,0.956
9000,0.582,0.543,0.529,0.55,0.503,0.971,0.949
12000,0.542,0.527,0.523,0.531,0.5,0.965,0.933
15000,0.525,0.518,0.524,0.529,0.5,0.966,0.921
18000,0.513,0.513,0.525,0.527,0.5,0.96,0.919
21000,0.507,0.511,0.519,0.531,0.5,0.958,0.911
24000,0.503,0.505,0.522,0.522,0.5,0.953,0.892
27000,0.5,0.509,0.513,0.518,0.5,0.955,0.877
30000,0.5,0.502,0.511,0.514,0.5,0.949,0.833
