dim,spec,hc,sdp,noniter,noniter_spec,noniter_hc,arias,ifpca,witten,chime
50,0.99184466,0.991658163,0.992083333,0.991875,0.991893204,0.962576531,0.9935075,0.867367632,0.99309,0.9912613
500,0.991627907,0.990963542,0.99142132,0.981192893,0.977848837,0.829947917,0.9928125,0.666012531,0.9928,0.92574
1000,0.991398964,0.988647959,0.991078947,0.963736842,0.957512953,0.751020408,0.991745,0.61152228,0.989672,0.855785
1500,0.991192893,0.962720207,0.990984456,0.941994819,0.932944162,0.685932642,0.989585,0.583376753,0.92939,0.80411
2000,0.990775401,0.918722826,0.990887097,0.916854839,0.906149733,0.651766304,0.98421,0.567073537,0.82941,0.770242
2500,0.991010363,0.860180412,0.991045918,0.890382653,0.875803109,0.615463918,0.974515,0.56003006,0.75436,0.74448
3000,0.990935829,0.793333333,0.990994898,0.862806122,0.849010695,0.595461538,0.9595925,0.552753,0.70145,0.72091
3500,0.988691099,0.767933673,0.988743455,0.831256545,0.81513089,0.591173469,0.9424825,0.550035,0.659195,0.705760204
4000,0.984240838,0.725025773,0.988840206,0.800902062,0.785863874,0.580309278,0.9228075,0.54608608,0.622445,0.68613
4500,0.967789474,0.701020942,0.984419192,0.770050505,0.755763158,0.579790576,0.900505,0.54259879,0.60895,0.670885204
5000,0.947984694,0.681848958,0.957052632,0.733526316,0.72505102,0.5646875,0.871685,0.54223644,0.592315,0.658441327
