iter,glasso,isee_clean,isee_dirty
1,7.27,43.75,14.68
2,6.97,37.25,11.97
3,6.64,32.61,9.62
4,6.67,31.45,8.94
5,6.39,30.37,8.46
6,6.14,28.62,8.57
7,6.14,28.26,8.4
8,6.04,27.78,8.35
9,5.81,27.5,7.92
10,5.99,27.39,8.18
11,5.91,27.82,8.03
12,5.93,27.26,8.05
13,5.87,27.24,7.74
14,5.73,26.42,7.48
15,5.97,26.58,7.46
16,5.84,26.57,7.29
17,5.89,26.84,7.36
18,5.78,26.36,7.26
19,5.97,26.8,7.51
20,5.56,26.51,7.08
21,5.72,26.57,7
22,5.62,26.7,6.78
23,5.53,26.46,6.95
24,5.7,25.97,6.47
25,5.97,26.21,6.55
26,5.88,25.91,6.66
27,5.98,25.61,6.69
28,5.65,26.37,6.37
29,5.72,26.51,6.3
30,5.74,26.39,6.34
