iter,glasso,isee_clean,isee_dirty
1,1.16,3.01,1.68
2,2.02,4.09,2.47
3,2.94,4.98,3.48
4,3.73,5.6,4.32
5,4.05,6.15,4.71
6,4.26,6.57,5.21
7,4.33,6.86,5.53
8,4.59,7.09,5.72
9,4.68,7.39,5.86
10,4.87,7.67,5.98
11,4.98,7.85,6.12
12,5.08,8.13,6.2
13,5.12,8.32,6.31
14,5.14,8.61,6.44
15,5.18,8.81,6.58
16,5.16,9.03,6.73
17,5.2,9.13,6.71
18,5.25,9.2,6.92
19,5.23,9.29,7.09
20,5.3,9.35,7.22
21,5.34,9.48,7.44
22,5.41,9.5,7.69
23,5.43,9.54,7.95
24,5.46,9.56,8.05
25,5.49,9.58,8.18
26,5.52,9.61,8.26
27,5.52,9.63,8.31
28,5.51,9.6,8.39
29,5.54,9.6,8.44
30,5.55,9.6,8.55
