iter,glasso,isee_clean,isee_dirty
1,-3.244621015,-7.966722256,-5.644208589
2,-3.330355917,-7.197855019,-5.128249515
3,-3.527944406,-7.820253122,-5.727417476
4,-3.800851943,-8.157685024,-6.171110798
5,-3.937373949,-8.41964632,-6.480604745
6,-3.949662157,-8.672962256,-6.771329829
7,-4.011573003,-8.746327646,-7.036328161
8,-4.062337067,-8.849088455,-7.114259287
9,-4.062139032,-9.107451954,-7.178872884
10,-4.149035739,-9.186601693,-7.397990039
11,-4.177122625,-9.35983547,-7.429713256
12,-4.167823746,-9.434859292,-7.520833441
13,-4.213915152,-9.58584297,-7.479021463
14,-4.214823896,-9.723500799,-7.565943813
15,-4.236345224,-9.840529701,-7.674257542
16,-4.198835078,-9.967792337,-7.70637538
17,-4.235305294,-10.12828664,-7.781983224
18,-4.256572904,-10.12274507,-7.767520327
19,-4.234020655,-10.10460733,-7.757070878
20,-4.195801045,-10.13837229,-7.869908371
21,-4.265636961,-10.19685621,-8.028580305
22,-4.270339041,-10.25561183,-8.149478368
23,-4.263334189,-10.34637406,-8.336308911
24,-4.293176547,-10.33128873,-8.434300672
25,-4.343060288,-10.53190747,-8.501251244
26,-4.354767524,-10.36656777,-8.613877754
27,-4.308602308,-10.48032345,-8.509664057
28,-4.343494569,-10.37128609,-8.563353892
29,-4.355688807,-10.38910726,-8.596920973
30,-4.362669523,-10.43283485,-8.676303941
