dim,rho20,rho50,rho80,rho20_spec,rho50_spec,rho80_spec
10,0.975454545454545,0.97438829787234,0.970747422680412,0.97596256684492,0.974840425531915,0.969716494845361
500,0.9755291005291,0.974913793103448,0.972157894736846,0.952936507936507,0.965086206896551,0.963855263157895
1000,0.975365168539326,0.975268817204301,0.97274358974359,0.927443820224719,0.954704301075269,0.958641025641025
1500,0.975390625,0.975706806282722,0.972512886597941,0.898177083333333,0.943403141361257,0.950760309278349
2000,0.975846560846561,0.975489690721649,0.972396907216495,0.869232804232804,0.931237113402062,0.944201030927835
2500,0.975668449197861,0.975487179487179,0.972864583333337,0.835187165775401,0.917871794871795,0.937317708333333
3000,0.968810810810811,0.97546875,0.973607954545454,0.801054054054054,0.90359375,0.930454545454546
3500,0.963994845360825,0.974842105263158,0.973092783505158,0.767268041237113,0.891184210526316,0.921610824742267
4000,0.953556701030928,0.974896907216495,0.973095238095237,0.739355670103093,0.876984536082474,0.915
4500,0.925868421052631,0.975157894736842,0.973201530612249,0.712342105263158,0.864394736842105,0.908265306122448
5000,0.903814432989691,0.975310880829016,0.973156565656565,0.688943298969072,0.850155440414508,0.900909090909091
6000,0.865824742268041,0.975128205128205,0.973350253807106,0.655773195876288,0.818564102564103,0.884619289340101
7000,0.820077720207253,0.968939393939394,0.973426395939086,0.632694300518135,0.792146464646465,0.869137055837563
8000,0.778316582914573,0.951421319796954,0.973527918781725,0.613542713567839,0.761649746192894,0.853604060913706
9000,0.758421052631579,0.940445544554455,0.973661616161616,0.603105263157895,0.736039603960396,0.836035353535353
10000,0.723692307692307,0.922809278350515,0.973693467336683,0.591205128205128,0.713118556701031,0.819723618090452
