dim,spec,scvx,ifpca,witten,chime,tvs,arias,greedy_isee
500,0.654,0.6813529,0.5737,0.5441,,0.889040404,0.8148,0.543
1000,0.62345,0.60135,0.54405,0.5304,,0.894315789,0.8116,0.53495
1500,0.611,0.5832,0.5462,0.535,,0.893,0.814,0.5332
2000,0.5978,0.5689286,0.5466,0.5307,,0.888,0.8021,0.5374
2500,0.5701,0.5598,0.5413,0.5288,,0.891,0.796,0.5312
3000,0.56405,0.55255,0.53525,0.53095,,0.887,0.7897,0.5326
3500,0.5562,0.5543,0.53955,0.53565,,0.892,0.76475,0.5311
4000,0.5524,0.5568269,0.53705,0.5308,,0.889473684,0.75445,0.5346
4500,0.5501,0.5512,0.53575,0.52855,,0.891,0.7576,0.5299
5000,0.54805,0.5431,0.53495,0.52855,,0.892375,0.7475,0.5287
