dim,spec,scvx,ifpca,witten,chime,tvs,arias,greedy_isee
500,0.652,0.6727848,0.5313,0.5321,,0.901,0.8412,0.53495
1000,0.61345,0.6011,0.5302,0.5293,,0.899,0.8338,0.543
1500,0.591,0.5832,0.5311,0.5301,,0.896,0.8172,0.5332
2000,0.5678,0.565,0.5327,0.5305,,0.894,0.8063,0.5311
2500,0.5601,0.5612,0.5343,0.5268,,0.893,0.7932,0.5287
3000,0.55405,0.55495,0.5326,0.52305,,0.898,0.7887,0.5326
3500,0.5512,0.55432,0.5334,0.5281,,0.8945,0.7721,0.5374
4000,0.5534,0.55472,0.531,0.53135,,0.893,0.7676,0.5346
4500,0.5491,0.5532,0.5326,0.5301,,0.892,0.7712,0.5299
5000,0.54405,0.5510256,0.53315,0.52995,,0.893,0.7746,0.5312
