
==========================================
--- Gaussian Known-Covariance Started at 2026-03-31 08:03:13.884671 ---
==========================================
Registered doParallel backend with 15 cores.

--- Dimension p = 50 ---
[2026-03-31 08:03:17] Rep 5, p = 50: Witten [feat = 50, acc = 0.950], Arias [feat = 12, acc = 0.960], IF-PCA [feat = 13, acc = 0.845]
[2026-03-31 08:03:17] Rep 12, p = 50: Witten [feat = 50, acc = 0.985], Arias [feat = 12, acc = 0.995], IF-PCA [feat = 19, acc = 0.915]
[2026-03-31 08:03:17] Rep 9, p = 50: Witten [feat = 50, acc = 0.980], Arias [feat = 10, acc = 0.985], IF-PCA [feat = 9, acc = 0.900]
[2026-03-31 08:03:17] Rep 8, p = 50: Witten [feat = 50, acc = 0.990], Arias [feat = 13, acc = 0.985], IF-PCA [feat = 14, acc = 0.885]
[2026-03-31 08:03:17] Rep 13, p = 50: Witten [feat = 50, acc = 0.965], Arias [feat = 11, acc = 0.970], IF-PCA [feat = 22, acc = 0.885]
[2026-03-31 08:03:17] Rep 4, p = 50: Witten [feat = 50, acc = 0.970], Arias [feat = 10, acc = 0.980], IF-PCA [feat = 25, acc = 0.945]
[2026-03-31 08:03:17] Rep 6, p = 50: Witten [feat = 50, acc = 0.965], Arias [feat = 15, acc = 0.960], IF-PCA [feat = 23, acc = 0.865]
[2026-03-31 08:03:17] Rep 10, p = 50: Witten [feat = 50, acc = 0.980], Arias [feat = 15, acc = 0.985], IF-PCA [feat = 21, acc = 0.875]
[2026-03-31 08:03:17] Rep 3, p = 50: Witten [feat = 50, acc = 0.980], Arias [feat = 12, acc = 0.990], IF-PCA [feat = 20, acc = 0.910]
[2026-03-31 08:03:17] Rep 2, p = 50: Witten [feat = 50, acc = 0.980], Arias [feat = 11, acc = 0.980], IF-PCA [feat = 25, acc = 0.920]
[2026-03-31 08:03:17] Rep 14, p = 50: Witten [feat = 50, acc = 0.985], Arias [feat = 13, acc = 0.985], IF-PCA [feat = 10, acc = 0.730]
[2026-03-31 08:03:17] Rep 7, p = 50: Witten [feat = 50, acc = 0.970], Arias [feat = 12, acc = 0.970], IF-PCA [feat = 21, acc = 0.840]
[2026-03-31 08:03:17] Rep 15, p = 50: Witten [feat = 50, acc = 0.950], Arias [feat = 11, acc = 0.960], IF-PCA [feat = 25, acc = 0.910]
[2026-03-31 08:03:17] Rep 1, p = 50: Witten [feat = 50, acc = 0.965], Arias [feat = 12, acc = 0.985], IF-PCA [feat = 15, acc = 0.895]
[2026-03-31 08:03:17] Rep 11, p = 50: Witten [feat = 50, acc = 0.975], Arias [feat = 12, acc = 0.975], IF-PCA [feat = 11, acc = 0.885]

==========================================
--- Gaussian Known-Covariance Started at 2026-03-31 08:03:21.763279 ---
==========================================
Registered doParallel backend with 15 cores.

--- Dimension p = 50 ---
[2026-03-31 08:03:25] Rep 18, p = 50: Witten [feat = 50, acc = 0.985], Arias [feat = 11, acc = 0.980], IF-PCA [feat = 24, acc = 0.555]
[2026-03-31 08:03:25] Rep 20, p = 50: Witten [feat = 50, acc = 0.995], Arias [feat = 11, acc = 0.995], IF-PCA [feat = 21, acc = 0.940]
[2026-03-31 08:03:25] Rep 28, p = 50: Witten [feat = 38, acc = 0.985], Arias [feat = 13, acc = 0.970], IF-PCA [feat = 21, acc = 0.825]
[2026-03-31 08:03:25] Rep 24, p = 50: Witten [feat = 50, acc = 0.975], Arias [feat = 12, acc = 0.975], IF-PCA [feat = 9, acc = 0.875]
[2026-03-31 08:03:25] Rep 27, p = 50: Witten [feat = 50, acc = 0.970], Arias [feat = 11, acc = 0.980], IF-PCA [feat = 5, acc = 0.605]
[2026-03-31 08:03:25] Rep 30, p = 50: Witten [feat = 50, acc = 0.955], Arias [feat = 11, acc = 0.965], IF-PCA [feat = 15, acc = 0.920]
[2026-03-31 08:03:25] Rep 25, p = 50: Witten [feat = 50, acc = 0.990], Arias [feat = 10, acc = 0.985], IF-PCA [feat = 16, acc = 0.870]
[2026-03-31 08:03:25] Rep 19, p = 50: Witten [feat = 35, acc = 0.970], Arias [feat = 12, acc = 0.975], IF-PCA [feat = 13, acc = 0.830]
[2026-03-31 08:03:25] Rep 16, p = 50: Witten [feat = 50, acc = 0.970], Arias [feat = 12, acc = 0.965], IF-PCA [feat = 15, acc = 0.900]
[2026-03-31 08:03:25] Rep 29, p = 50: Witten [feat = 50, acc = 0.960], Arias [feat = 11, acc = 0.980], IF-PCA [feat = 12, acc = 0.810]
[2026-03-31 08:03:25] Rep 22, p = 50: Witten [feat = 50, acc = 0.980], Arias [feat = 10, acc = 0.980], IF-PCA [feat = 15, acc = 0.860]
[2026-03-31 08:03:25] Rep 21, p = 50: Witten [feat = 50, acc = 0.985], Arias [feat = 14, acc = 0.990], IF-PCA [feat = 8, acc = 0.635]
[2026-03-31 08:03:25] Rep 26, p = 50: Witten [feat = 50, acc = 0.960], Arias [feat = 10, acc = 0.965], IF-PCA [feat = 16, acc = 0.790]
[2026-03-31 08:03:25] Rep 17, p = 50: Witten [feat = 50, acc = 0.975], Arias [feat = 10, acc = 0.985], IF-PCA [feat = 17, acc = 0.910]
[2026-03-31 08:03:25] Rep 23, p = 50: Witten [feat = 50, acc = 0.985], Arias [feat = 11, acc = 0.985], IF-PCA [feat = 12, acc = 0.845]
[2026-03-31 08:03:29] Rep 31, p = 50: Witten [feat = 50, acc = 0.990], Arias [feat = 10, acc = 0.985], IF-PCA [feat = 22, acc = 0.905]
[2026-03-31 08:03:29] Rep 32, p = 50: Witten [feat = 50, acc = 0.985], Arias [feat = 10, acc = 0.990], IF-PCA [feat = 22, acc = 0.890]
[2026-03-31 08:03:29] Rep 35, p = 50: Witten [feat = 50, acc = 0.960], Arias [feat = 10, acc = 0.970], IF-PCA [feat = 8, acc = 0.540]
[2026-03-31 08:03:29] Rep 34, p = 50: Witten [feat = 50, acc = 0.980], Arias [feat = 11, acc = 0.980], IF-PCA [feat = 14, acc = 0.815]
[2026-03-31 08:03:29] Rep 37, p = 50: Witten [feat = 37, acc = 0.945], Arias [feat = 10, acc = 0.965], IF-PCA [feat = 6, acc = 0.535]
[2026-03-31 08:03:29] Rep 38, p = 50: Witten [feat = 50, acc = 0.985], Arias [feat = 10, acc = 0.980], IF-PCA [feat = 11, acc = 0.770]
[2026-03-31 08:03:29] Rep 39, p = 50: Witten [feat = 50, acc = 0.980], Arias [feat = 12, acc = 0.980], IF-PCA [feat = 15, acc = 0.695]
[2026-03-31 08:03:29] Rep 33, p = 50: Witten [feat = 50, acc = 0.985], Arias [feat = 15, acc = 0.985], IF-PCA [feat = 5, acc = 0.765]
[2026-03-31 08:03:29] Rep 43, p = 50: Witten [feat = 50, acc = 0.975], Arias [feat = 11, acc = 0.975], IF-PCA [feat = 22, acc = 0.915]
[2026-03-31 08:03:29] Rep 44, p = 50: Witten [feat = 50, acc = 0.975], Arias [feat = 11, acc = 0.980], IF-PCA [feat = 19, acc = 0.930]
[2026-03-31 08:03:29] Rep 41, p = 50: Witten [feat = 50, acc = 0.975], Arias [feat = 10, acc = 0.975], IF-PCA [feat = 22, acc = 0.725]
