
==========================================
--- Laplace Known-Covariance Started at 2026-03-31 08:05:12.935097 ---
==========================================
Registered doParallel backend with 15 cores.

--- Dimension p = 3000 ---
[2026-03-31 08:08:18] Rep 4, p = 3000: Witten [feat = 30, acc = 0.970], Arias [feat = 60, acc = 0.955], IF-PCA [feat = 1498, acc = 0.515]
[2026-03-31 08:08:20] Rep 3, p = 3000: Witten [feat = 96, acc = 0.515], Arias [feat = 60, acc = 0.970], IF-PCA [feat = 1243, acc = 0.510]
[2026-03-31 08:08:24] Rep 2, p = 3000: Witten [feat = 91, acc = 0.530], Arias [feat = 60, acc = 0.980], IF-PCA [feat = 1000, acc = 0.530]
[2026-03-31 08:08:24] Rep 5, p = 3000: Witten [feat = 71, acc = 0.505], Arias [feat = 60, acc = 0.970], IF-PCA [feat = 1496, acc = 0.525]
[2026-03-31 08:08:24] Rep 13, p = 3000: Witten [feat = 512, acc = 0.975], Arias [feat = 60, acc = 0.990], IF-PCA [feat = 1472, acc = 0.505]
[2026-03-31 08:08:25] Rep 14, p = 3000: Witten [feat = 37, acc = 0.960], Arias [feat = 60, acc = 0.940], IF-PCA [feat = 1425, acc = 0.505]
[2026-03-31 08:08:26] Rep 7, p = 3000: Witten [feat = 318, acc = 0.560], Arias [feat = 60, acc = 0.980], IF-PCA [feat = 1499, acc = 0.555]
[2026-03-31 08:08:28] Rep 8, p = 3000: Witten [feat = 75, acc = 0.555], Arias [feat = 60, acc = 0.965], IF-PCA [feat = 792, acc = 0.505]
[2026-03-31 08:08:28] Rep 9, p = 3000: Witten [feat = 123, acc = 0.535], Arias [feat = 60, acc = 0.945], IF-PCA [feat = 1500, acc = 0.500]
[2026-03-31 08:08:32] Rep 12, p = 3000: Witten [feat = 177, acc = 0.525], Arias [feat = 60, acc = 0.950], IF-PCA [feat = 848, acc = 0.510]
[2026-03-31 08:08:32] Rep 15, p = 3000: Witten [feat = 183, acc = 0.580], Arias [feat = 60, acc = 0.980], IF-PCA [feat = 1413, acc = 0.530]
[2026-03-31 08:08:36] Rep 11, p = 3000: Witten [feat = 259, acc = 0.510], Arias [feat = 60, acc = 0.960], IF-PCA [feat = 920, acc = 0.525]
[2026-03-31 08:08:43] Rep 1, p = 3000: Witten [feat = 111, acc = 0.535], Arias [feat = 60, acc = 0.955], IF-PCA [feat = 1500, acc = 0.520]
[2026-03-31 08:08:49] Rep 6, p = 3000: Witten [feat = 91, acc = 0.515], Arias [feat = 60, acc = 0.960], IF-PCA [feat = 1465, acc = 0.515]
[2026-03-31 08:08:50] Rep 10, p = 3000: Witten [feat = 80, acc = 0.515], Arias [feat = 60, acc = 0.960], IF-PCA [feat = 1499, acc = 0.500]
[2026-03-31 08:11:23] Rep 24, p = 3000: Witten [feat = 189, acc = 0.560], Arias [feat = 60, acc = 0.930], IF-PCA [feat = 1439, acc = 0.515]
[2026-03-31 08:11:25] Rep 16, p = 3000: Witten [feat = 97, acc = 0.520], Arias [feat = 60, acc = 0.955], IF-PCA [feat = 1260, acc = 0.555]
[2026-03-31 08:11:27] Rep 17, p = 3000: Witten [feat = 94, acc = 0.565], Arias [feat = 60, acc = 0.955], IF-PCA [feat = 1500, acc = 0.500]
[2026-03-31 08:11:27] Rep 22, p = 3000: Witten [feat = 85, acc = 0.560], Arias [feat = 60, acc = 0.945], IF-PCA [feat = 1086, acc = 0.505]
[2026-03-31 08:11:28] Rep 21, p = 3000: Witten [feat = 156, acc = 0.550], Arias [feat = 60, acc = 0.960], IF-PCA [feat = 1002, acc = 0.515]
[2026-03-31 08:11:28] Rep 20, p = 3000: Witten [feat = 72, acc = 0.500], Arias [feat = 60, acc = 0.965], IF-PCA [feat = 1420, acc = 0.525]
[2026-03-31 08:11:29] Rep 19, p = 3000: Witten [feat = 111, acc = 0.525], Arias [feat = 60, acc = 0.955], IF-PCA [feat = 1070, acc = 0.525]
[2026-03-31 08:11:29] Rep 23, p = 3000: Witten [feat = 85, acc = 0.525], Arias [feat = 60, acc = 0.950], IF-PCA [feat = 908, acc = 0.505]
[2026-03-31 08:11:39] Rep 25, p = 3000: Witten [feat = 96, acc = 0.570], Arias [feat = 60, acc = 0.960], IF-PCA [feat = 1362, acc = 0.510]
[2026-03-31 08:11:48] Rep 18, p = 3000: Witten [feat = 70, acc = 0.515], Arias [feat = 60, acc = 0.945], IF-PCA [feat = 1442, acc = 0.530]
[2026-03-31 08:11:52] Rep 29, p = 3000: Witten [feat = 113, acc = 0.500], Arias [feat = 60, acc = 0.960], IF-PCA [feat = 1203, acc = 0.520]
