
==========================================
--- Gaussian Known-Covariance Started at 2026-04-02 15:43:16 ---
==========================================
Registered doParallel backend with 15 cores.

--- Dimension p = 1000 ---
[2026-04-02 15:46:32] Rep 4, p = 1000: Witten [feat = 339, acc = 0.975], Arias [feat = 20, acc = 0.975], IF-PCA [feat = 40, acc = 0.515], SCVX [acc = 0.900]
[2026-04-02 15:46:39] Rep 10, p = 1000: Witten [feat = 498, acc = 0.965], Arias [feat = 20, acc = 0.985], IF-PCA [feat = 120, acc = 0.515], SCVX [acc = 0.915]
[2026-04-02 15:46:47] Rep 15, p = 1000: Witten [feat = 542, acc = 0.530], Arias [feat = 20, acc = 0.960], IF-PCA [feat = 155, acc = 0.545], SCVX [acc = 0.825]
[2026-04-02 15:46:48] Rep 7, p = 1000: Witten [feat = 253, acc = 0.950], Arias [feat = 60, acc = 0.950], IF-PCA [feat = 30, acc = 0.505], SCVX [acc = 0.875]
[2026-04-02 15:46:48] Rep 8, p = 1000: Witten [feat = 203, acc = 0.600], Arias [feat = 120, acc = 0.945], IF-PCA [feat = 211, acc = 0.635], SCVX [acc = 0.910]
[2026-04-02 15:46:56] Rep 6, p = 1000: Witten [feat = 122, acc = 0.515], Arias [feat = 180, acc = 0.945], IF-PCA [feat = 89, acc = 0.590], SCVX [acc = 0.845]
[2026-04-02 15:46:58] Rep 13, p = 1000: Witten [feat = 390, acc = 0.945], Arias [feat = 40, acc = 0.955], IF-PCA [feat = 301, acc = 0.550], SCVX [acc = 0.815]
[2026-04-02 15:47:03] Rep 14, p = 1000: Witten [feat = 283, acc = 0.515], Arias [feat = 20, acc = 0.985], IF-PCA [feat = 36, acc = 0.540], SCVX [acc = 0.820]
[2026-04-02 15:47:10] Rep 9, p = 1000: Witten [feat = 167, acc = 0.970], Arias [feat = 80, acc = 0.960], IF-PCA [feat = 141, acc = 0.545], SCVX [acc = 0.880]
[2026-04-02 15:47:41] Rep 1, p = 1000: Witten [feat = 180, acc = 0.980], Arias [feat = 40, acc = 0.985], IF-PCA [feat = 493, acc = 0.530], SCVX [acc = 0.885]
[2026-04-02 15:47:51] Rep 11, p = 1000: Witten [feat = 163, acc = 0.965], Arias [feat = 20, acc = 0.965], IF-PCA [feat = 336, acc = 0.560], SCVX [acc = 0.890]
[2026-04-02 15:47:53] Rep 5, p = 1000: Witten [feat = 178, acc = 0.975], Arias [feat = 40, acc = 0.960], IF-PCA [feat = 116, acc = 0.550], SCVX [acc = 0.875]
[2026-04-02 15:47:56] Rep 12, p = 1000: Witten [feat = 475, acc = 0.510], Arias [feat = 120, acc = 0.890], IF-PCA [feat = 56, acc = 0.560], SCVX [acc = 0.710]
[2026-04-02 15:47:57] Rep 3, p = 1000: Witten [feat = 11, acc = 0.960], Arias [feat = 40, acc = 0.970], IF-PCA [feat = 87, acc = 0.505], SCVX [acc = 0.850]
[2026-04-02 15:48:16] Rep 2, p = 1000: Witten [feat = 105, acc = 0.975], Arias [feat = 20, acc = 0.975], IF-PCA [feat = 126, acc = 0.580], SCVX [acc = 0.820]
[2026-04-02 15:51:06] Rep 16, p = 1000: Witten [feat = 282, acc = 0.535], Arias [feat = 140, acc = 0.930], IF-PCA [feat = 29, acc = 0.550], SCVX [acc = 0.890]
[2026-04-02 15:51:09] Rep 18, p = 1000: Witten [feat = 152, acc = 0.520], Arias [feat = 40, acc = 0.950], IF-PCA [feat = 219, acc = 0.545], SCVX [acc = 0.730]
[2026-04-02 15:51:19] Rep 22, p = 1000: Witten [feat = 235, acc = 0.945], Arias [feat = 40, acc = 0.960], IF-PCA [feat = 22, acc = 0.505], SCVX [acc = 0.790]
[2026-04-02 15:51:19] Rep 19, p = 1000: Witten [feat = 678, acc = 0.975], Arias [feat = 40, acc = 0.965], IF-PCA [feat = 113, acc = 0.550], SCVX [acc = 0.960]
[2026-04-02 15:51:41] Rep 21, p = 1000: Witten [feat = 10, acc = 0.990], Arias [feat = 20, acc = 0.985], IF-PCA [feat = 344, acc = 0.510], SCVX [acc = 0.845]
[2026-04-02 15:51:48] Rep 17, p = 1000: Witten [feat = 154, acc = 0.970], Arias [feat = 20, acc = 0.960], IF-PCA [feat = 429, acc = 0.520], SCVX [acc = 0.800]
[2026-04-02 15:51:58] Rep 24, p = 1000: Witten [feat = 325, acc = 0.970], Arias [feat = 80, acc = 0.975], IF-PCA [feat = 342, acc = 0.535], SCVX [acc = 0.830]
[2026-04-02 15:52:00] Rep 20, p = 1000: Witten [feat = 289, acc = 0.955], Arias [feat = 60, acc = 0.520], IF-PCA [feat = 22, acc = 0.530], SCVX [acc = 0.885]
[2026-04-02 15:52:04] Rep 23, p = 1000: Witten [feat = 224, acc = 0.955], Arias [feat = 20, acc = 0.955], IF-PCA [feat = 39, acc = 0.550], SCVX [acc = 0.795]
[2026-04-02 15:52:13] Rep 28, p = 1000: Witten [feat = 426, acc = 0.950], Arias [feat = 20, acc = 0.965], IF-PCA [feat = 277, acc = 0.540], SCVX [acc = 0.865]
[2026-04-02 15:52:14] Rep 25, p = 1000: Witten [feat = 11, acc = 0.950], Arias [feat = 20, acc = 0.975], IF-PCA [feat = 123, acc = 0.525], SCVX [acc = 0.855]
[2026-04-02 15:52:24] Rep 26, p = 1000: Witten [feat = 169, acc = 0.510], Arias [feat = 40, acc = 0.955], IF-PCA [feat = 126, acc = 0.695], SCVX [acc = 0.850]
[2026-04-02 15:52:35] Rep 29, p = 1000: Witten [feat = 247, acc = 0.990], Arias [feat = 100, acc = 0.940], IF-PCA [feat = 225, acc = 0.535], SCVX [acc = 0.900]
