"p","sep","n_reps","mean_acc_witten","sd_acc_witten","mean_acc_arias","sd_acc_arias","mean_acc_ifpca","sd_acc_ifpca","mean_L_ifpca"
100,6,100,0.68505,0.169372721200519,0.84925,0.10713763214773,0.6558,0.131452107497965,28.18
200,6,100,0.62525,0.159080970108008,0.83655,0.12417545220088,0.5924,0.0896189464095375,48.86
300,6,100,0.60775,0.141514847348969,0.82245,0.131599512986112,0.57785,0.0749890732781191,74.42
400,6,100,0.57395,0.114722535279735,0.825,0.126648722811953,0.5564,0.0594889005859857,96.79
500,6,100,0.5441,0.0654293512118223,0.8148,0.1355887275193,0.5737,0.0644816942154042,110.61
600,6,100,0.5605,0.0948057556962198,0.81305,0.127310752797153,0.56615,0.063841086640457,128.92
700,6,100,0.55025,0.0778024401736199,0.82755,0.116327418014061,0.54965,0.0404410969588156,158.05
800,6,100,0.5589,0.0908839308617804,0.8446,0.104181950393908,0.5498,0.0449518260659861,156.33
900,6,100,0.54065,0.0555625727891491,0.83015,0.106456836702995,0.5548,0.0513697234258516,186.1
1000,6,100,0.5304,0.0236737078727529,0.8116,0.12923215348724,0.54405,0.0392395839617974,201.9
1500,6,100,0.53455,0.0533432519186122,0.81355,0.128835685422882,0.5462,0.0440908153700972,306.28
2000,6,100,0.5307,0.018976593769987,0.796,0.127521042034702,0.5466,0.0367483937668634,354.71
2500,6,100,0.5288,0.0356973812807471,0.8021,0.123319368578771,0.5413,0.0357362674055477,491.76
3000,6,100,0.53095,0.0428745821901485,0.75445,0.144805503480993,0.53525,0.0311348890014291,533.94
3500,6,100,0.53565,0.0391426747923413,0.7897,0.121521956281924,0.53955,0.0328610097166225,663.64
4000,6,100,0.5308,0.0226158074689971,0.76475,0.144395946598024,0.53705,0.0293627177202518,718.03
4500,6,100,0.52855,0.0196213525208502,0.7576,0.143519048114587,0.53575,0.0323988324393695,856.23
5000,6,100,0.52855,0.0233581577902354,0.7475,0.136817175069285,0.53495,0.0272056793684515,917.23
