"noise","separation","p","n_reps","mean_accuracy","sd_accuracy","mean_tp","mean_fp","mean_n_selected","mean_recall","mean_precision","mean_runtime"
"Gaussian",6,100,1,NA,NA,NA,NA,NA,NA,NA,0.301229000091553
"Gaussian",6,500,99,0.889040404040404,0.0355688235397005,5.47474747474747,2.97979797979798,8.45454545454546,0.547474747474747,0.651637588001224,33792.0955992275
"Gaussian",6,1000,95,0.894315789473684,0.0326946749382359,5.44210526315789,3.45263157894737,8.89473684210526,0.544210526315789,0.61816359079517,33673.5293775734
"Gaussian",6,1500,84,0.893214285714286,0.0302264830138616,5.44047619047619,3.82142857142857,9.26190476190476,0.544047619047619,0.593381948739092,32015.8801029126
"Gaussian",6,2000,86,0.888197674418605,0.0304661122319216,5.36046511627907,3.96511627906977,9.32558139534884,0.536046511627907,0.583058382186289,29814.109266453
"Gaussian",6,4000,95,0.889473684210526,0.035155230870509,5.42105263157895,4.73684210526316,10.1578947368421,0.542105263157895,0.544634319928438,27410.2189873193
"Gaussian",6,5000,2,0.8975,0.00353553390593274,5,4,9,0.5,0.5625,27363.4550195932
"Laplace",6,3000,96,0.89296875,0.0379929226442588,5.44791666666667,4.3125,9.76041666666667,0.544791666666667,0.566457038332038,31322.6656818812
"Laplace",6,5000,98,0.893469387755102,0.0311250236058811,5.44897959183673,5.09183673469388,10.5408163265306,0.544897959183673,0.531359725875032,28783.6158377102
"Laplace",NA,400,60,0.8515,0.104286518621065,NA,NA,19.2166666666667,NA,NA,13114.5077722549
