"rep","time","acc","ari","obj","iter"
1,4.05089282989502,0.67,0.111391837526053,8678.7191758702,1000
2,3.30118012428284,0.675,0.118072190580952,8638.1774756564,1000
3,2.97295999526978,0.51,-0.00444556655221163,8692.79287636651,1000
4,3.01421308517456,0.665,0.104421658251892,8655.59028028619,1000
5,3.14661002159119,0.635,0.0684251638902649,8662.10158166985,1000
6,3.03432416915894,0.78,0.310222516684711,8662.57294682055,1000
7,3.31236815452576,0.74,0.226538132100781,8533.88146410629,1000
8,3.28818106651306,0.67,0.111133333333333,8635.17939872441,1000
9,3.10852289199829,0.77,0.288027975531511,8441.95615470941,1000
10,3.33803200721741,0.525,-0.00252522064115358,8480.76654002979,1000
11,3.97486710548401,0.76,0.266716632895691,8526.44319323622,1000
12,3.62672090530396,0.65,0.0854502297863744,8478.52302279876,1000
13,3.34262013435364,0.65,0.0855222759077614,8665.40682341606,1000
14,3.26761913299561,0.615,0.0481171474155821,8537.53519233493,1000
15,3.37831687927246,0.715,0.180793676847515,8570.11220067608,1000
16,3.14285278320312,0.655,0.0915720114480165,8703.34041480941,1000
17,3.23631811141968,0.755,0.256381533992341,8711.19441101272,1000
18,3.24411797523499,0.725,0.198472627034027,8571.29412159153,1000
19,3.35193991661072,0.665,0.104598925188885,8613.73688330244,1000
20,3.06884694099426,0.635,0.0683536594911148,8819.64472223472,1000
21,3.24769806861877,0.69,0.140094422525651,8576.92607748254,1000
22,3.13847303390503,0.7,0.155800212110499,8660.65600629951,1000
23,3.36534905433655,0.72,0.189528910042606,8595.34367662673,1000
24,3.1564519405365,0.715,0.180853250404385,8640.79571455182,1000
25,3.19096398353577,0.71,0.172242076278634,8770.26775170076,1000
26,3.1443350315094,0.535,-0.000101007601327113,8787.66705275154,1000
27,3.37530088424683,0.655,0.0915353073054003,8800.77518636494,1000
28,3.28390312194824,0.535,-0.000121211570250419,8558.05092807309,1000
29,3.64090895652771,0.68,0.125205807665035,8525.25047285563,1000
30,3.36303782463074,0.785,0.321507195023961,8634.76125690525,1000
31,3.48160600662231,0.785,0.321490746721845,8590.0630818569,1000
32,3.3652880191803,0.715,0.180876415558838,8463.09887868266,1000
33,3.67786693572998,0.68,0.125317130714413,8680.63679716906,1000
34,3.360995054245,0.565,0.0121548685368562,8610.80070549414,1000
35,3.48336601257324,0.79,0.333096986885802,8580.51194302269,1000
36,3.22920799255371,0.5,-0.00504847464954615,8619.47759718532,1000
37,3.54380488395691,0.505,-0.00490889009085996,8605.6958812115,1000
38,3.56784200668335,0.52,-0.00343431568229752,8452.08985324878,1000
39,3.24065804481506,0.645,0.0795528058463697,8529.49843682664,1000
40,3.22743701934814,0.61,0.0436886045623767,8695.30753444948,1000
41,3.18820118904114,0.755,0.256363506887118,8693.77407446446,1000
42,3.42613291740417,0.635,0.0683536594911148,8483.55903997765,1000
43,4.01936197280884,0.755,0.256363506887118,8580.3393187751,1000
44,4.91980195045471,0.71,0.172347413667728,8626.17130736916,1000
45,4.67199087142944,0.715,0.180787057028529,8547.71852587062,1000
46,5.45666289329529,0.615,0.0482901854762844,8517.47879420322,1000
47,5.50531506538391,0.615,0.0481748337601591,8474.83498947517,1000
48,4.3840479850769,0.625,0.0579369115024988,8599.2001686526,1000
49,4.23256707191467,0.785,0.321493488160912,8763.09631653749,1000
50,4.39258790016174,0.665,0.104403565842378,8719.22387202132,1000
51,5.08614492416382,0.67,0.111162063448454,8682.78932505341,1000
52,4.5720648765564,0.55,0.0050502499873743,8625.58384280609,1000
53,5.38656306266785,0.74,0.22652719445505,8617.76551948767,1000
54,4.28257608413696,0.7,0.155818970741522,8631.11040033866,1000
55,3.90890288352966,0.74,0.22652719445505,8627.36966241956,1000
56,4.71726703643799,0.715,0.180876415558838,8505.62145183524,1000
57,4.98085999488831,0.605,0.0393115231144584,8511.32245246187,1000
58,4.90719890594482,0.64,0.0738128136135553,8595.78522849145,1000
59,5.9000608921051,0.545,0.00309090752984465,8584.92873002489,1000
60,4.7138991355896,0.68,0.125219945495941,8549.58097843921,1000
61,3.94373297691345,0.75,0.246225826197099,8543.93243901325,1000
62,4.31255912780762,0.61,0.0436886045623767,8522.64458695669,1000
63,4.43763494491577,0.565,0.0121149628779804,8662.3841637866,1000
64,4.70718693733215,0.615,0.0483709150434051,8545.04185375984,1000
65,4.59524583816528,0.75,0.24621364401284,8638.19779679307,1000
66,5.02679181098938,0.675,0.118122074358082,8561.51037586003,1000
67,5.77378296852112,0.585,0.0240077776795747,8638.27975488276,1000
68,4.71568894386292,0.575,0.0175755356624285,8589.42356399353,1000
69,4.53466391563416,0.635,0.068218147364572,8596.23174276236,1000
70,4.26105093955994,0.545,0.00323589132697307,8643.69946224282,1000
71,4.0743191242218,0.735,0.216968710748284,8569.95251827682,1000
72,4.40631198883057,0.74,0.226552194333619,8544.6193413668,1000
73,4.51106405258179,0.715,0.180787057028529,8586.36486275156,1000
74,4.52650713920593,0.525,-0.00242396697344997,8817.01258655401,1000
