"sep","pval","n_runs","mean_acc","sd_acc","mean_L","sd_L","mean_rt"
7,0.001,2,0.53,0.00707106781186548,22,7.07106781186548,19315.2067767382
8,0.01,20,0.7195,0.218270112716476,36.4,11.6772383180631,14973.7940569401
8,0.005,20,0.7025,0.216409091160335,28.1,9.41946472945643,16316.3223889828
8,0.001,20,0.75425,0.230161699452226,17.1,4.68929351653429,14153.2536752582
9,0.01,20,0.828,0.219804937447537,30.05,13.6400146627487,12726.7329752207
9,0.005,20,0.738,0.232952446016914,26.65,10.3784949725255,16845.9975426316
9,0.001,20,0.78475,0.233922361164194,17.85,6.53955575507115,12894.99040308
10,0.01,20,0.8615,0.209410827649485,27.6,14.673283993636,13125.3779689074
10,0.005,20,0.835,0.223653867911062,23.4,11.1657370652602,12901.338542974
10,0.001,20,0.87825,0.208921258145894,15.75,5.22015325445528,12874.4615457416
