Rep 1, sep = 2: Witten [feat = 75, acc = 0.515], Arias [feat = 140, acc = 0.520], IF-PCA [feat = 13, acc = 0.665]
Rep 6, sep = 2: Witten [feat = 77, acc = 0.590], Arias [feat = 104, acc = 0.585], IF-PCA [feat = 41, acc = 0.500]
Rep 2, sep = 2: Witten [feat = 78, acc = 0.545], Arias [feat = 120, acc = 0.555], IF-PCA [feat = 100, acc = 0.535]
Rep 9, sep = 2: Witten [feat = 68, acc = 0.500], Arias [feat = 104, acc = 0.505], IF-PCA [feat = 99, acc = 0.765]
Rep 4, sep = 2: Witten [feat = 86, acc = 0.525], Arias [feat = 104, acc = 0.530], IF-PCA [feat = 61, acc = 0.555]
Rep 5, sep = 2: Witten [feat = 74, acc = 0.525], Arias [feat = 100, acc = 0.555], IF-PCA [feat = 67, acc = 0.525]
Rep 3, sep = 2: Witten [feat = 78, acc = 0.505], Arias [feat = 120, acc = 0.510], IF-PCA [feat = 22, acc = 0.660]
Rep 8, sep = 2: Witten [feat = 68, acc = 0.540], Arias [feat = 148, acc = 0.530], IF-PCA [feat = 90, acc = 0.775]
Rep 7, sep = 2: Witten [feat = 70, acc = 0.510], Arias [feat = 88, acc = 0.535], IF-PCA [feat = 17, acc = 0.575]
Rep 11, sep = 2: Witten [feat = 71, acc = 0.565], Arias [feat = 112, acc = 0.565], IF-PCA [feat = 76, acc = 0.595]
Rep 10, sep = 2: Witten [feat = 68, acc = 0.535], Arias [feat = 104, acc = 0.530], IF-PCA [feat = 100, acc = 0.585]
Rep 12, sep = 2: Witten [feat = 70, acc = 0.540], Arias [feat = 108, acc = 0.540], IF-PCA [feat = 12, acc = 0.635]
Rep 18, sep = 2: Witten [feat = 87, acc = 0.605], Arias [feat = 124, acc = 0.615], IF-PCA [feat = 84, acc = 0.515]
Rep 14, sep = 2: Witten [feat = 71, acc = 0.555], Arias [feat = 112, acc = 0.555], IF-PCA [feat = 20, acc = 0.775]
Rep 13, sep = 2: Witten [feat = 74, acc = 0.555], Arias [feat = 96, acc = 0.535], IF-PCA [feat = 51, acc = 0.640]
Rep 16, sep = 2: Witten [feat = 75, acc = 0.505], Arias [feat = 100, acc = 0.540], IF-PCA [feat = 10, acc = 0.510]
Rep 17, sep = 2: Witten [feat = 75, acc = 0.535], Arias [feat = 124, acc = 0.525], IF-PCA [feat = 73, acc = 0.655]
Rep 15, sep = 2: Witten [feat = 74, acc = 0.570], Arias [feat = 84, acc = 0.565], IF-PCA [feat = 45, acc = 0.545]
Rep 19, sep = 2: Witten [feat = 71, acc = 0.545], Arias [feat = 116, acc = 0.535], IF-PCA [feat = 100, acc = 0.710]
Rep 22, sep = 2: Witten [feat = 70, acc = 0.510], Arias [feat = 124, acc = 0.505], IF-PCA [feat = 46, acc = 0.760]
