"separation","p","n_reps","mean_accuracy","sd_accuracy","mean_tp","mean_fp","mean_n_selected","mean_recall","mean_precision","mean_runtime"
4,5000,200,0.96265,0.0224274934469182,9.08,8.495,17.575,0.908,0.680766266753468,23464.7902685702
4,7000,100,0.96515,0.0467394183994969,9.04,0.04,9.08,0.904,0.989090909090909,32320.4521769571
4,10000,100,0.9659,0.0171502569406791,8.56,0,8.56,0.856,1,34043.0570511031
4,11000,32,0.953125,0.0817228794907403,8.21875,0.125,8.34375,0.821875,0.96875,32815.7100619376
4,13000,31,0.965645161290323,0.0128932757334893,8.48387096774194,0,8.48387096774194,0.848387096774194,1,32589.8322319138
4,15000,23,0.96304347826087,0.017628691130885,8.43478260869565,0.0434782608695652,8.47826086956522,0.843478260869565,0.994565217391304,41389.9674841217
4,17000,76,0.939144736842105,0.073359335501783,6.97368421052632,0.118421052631579,7.09210526315789,0.697368421052632,0.968515037593985,36512.2547239849
4,18000,86,0.938313953488372,0.0851490404944602,7.12790697674419,0.104651162790698,7.23255813953488,0.712790697674419,0.962790697674419,31217.8491657279
4,20000,74,0.926418918918919,0.086434393008256,6.44594594594595,0.148648648648649,6.59459459459459,0.644594594594595,0.955067567567568,37583.0235370462
4,21000,78,0.903076923076923,0.112738148423194,5.78205128205128,0.243589743589744,6.02564102564103,0.578205128205128,0.916666666666667,37686.7099609344
4,23000,89,0.915730337078652,0.10087838808605,6.08988764044944,0.146067415730337,6.23595505617978,0.608988764044944,0.941573033707865,34532.3785833428
